Predicción de captura_2026-05-21_15-38-55.pcap_Flow.csv
Flujo 0: prob=1.000000000000, clase=1, paquetes=2, payload=0.0, ACK=2, RST=0, SYN=0, duracion=238628
Flujo 1: prob=1.000000000000, clase=1, paquetes=2, payload=0.0, ACK=2, RST=0, SYN=0, duracion=440753
Flujo 2: prob=0.999999821186, clase=1, paquetes=3, payload=1.0, ACK=3, RST=0, SYN=0, duracion=8416955
Flujo 3: prob=0.000000000000, clase=0, paquetes=21, payload=6865.0, ACK=20, RST=0, SYN=2, duracion=2527857
Flujo 4: prob=0.000000000000, clase=0, paquetes=30, payload=8321.0, ACK=29, RST=0, SYN=2, duracion=8562825
Flujo 5: prob=0.000000000000, clase=0, paquetes=26, payload=5343.0, ACK=25, RST=0, SYN=2, duracion=10681589
Flujo 6: prob=0.000000000000, clase=0, paquetes=208, payload=140120.0, ACK=207, RST=0, SYN=2, duracion=12813514
Flujo 7: prob=0.000000000000, clase=0, paquetes=35, payload=15978.0, ACK=34, RST=0, SYN=2, duracion=11661214
Flujo 8: prob=0.000000000000, clase=0, paquetes=54, payload=13471.0, ACK=53, RST=0, SYN=2, duracion=8421631
Flujo 9: prob=0.000000000000, clase=0, paquetes=214, payload=83997.0, ACK=213, RST=0, SYN=2, duracion=9460070
Flujo 10: prob=0.000000000000, clase=0, paquetes=16, payload=6919.0, ACK=15, RST=0, SYN=2, duracion=2308427
Flujo 11: prob=0.000000000000, clase=0, paquetes=14, payload=5790.0, ACK=13, RST=0, SYN=2, duracion=7857869
Flujo 12: prob=0.000000000000, clase=0, paquetes=17, payload=8006.0, ACK=16, RST=0, SYN=2, duracion=7930029
Flujo 13: prob=0.000000000000, clase=0, paquetes=17, payload=8493.0, ACK=16, RST=0, SYN=2, duracion=12135582
Flujo 14: prob=0.000000000000, clase=0, paquetes=42, payload=20331.0, ACK=41, RST=0, SYN=2, duracion=12779588
Flujo 15: prob=0.000000000000, clase=0, paquetes=4, payload=24.0, ACK=4, RST=0, SYN=0, duracion=10138
Flujo 16: prob=0.000000000000, clase=0, paquetes=4, payload=24.0, ACK=4, RST=1, SYN=0, duracion=697
Flujo 17: prob=1.000000000000, clase=1, paquetes=3, payload=24.0, ACK=3, RST=1, SYN=0, duracion=4422
